2026-05-01 20:56:01,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:03,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:04,327 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:06,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:07,322 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:09,283 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:10,329 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:12,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:13,328 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:15,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:16,329 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:18,276 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:19,322 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:21,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:22,330 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:24,283 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:25,323 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:27,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:28,324 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:30,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:31,321 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:33,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:34,329 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:36,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:37,321 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:39,276 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:39,575 [DEBUG] [Thread-7] [root/watcher.py:84]: Stylesheet modified: c:\users\omarpc\.config\yasb\styles.css
2026-05-01 20:56:40,321 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:42,282 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:43,322 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:45,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:46,322 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:46,412 [DEBUG] [Thread-7] [root/watcher.py:84]: Stylesheet modified: c:\users\omarpc\.config\yasb\styles.css
2026-05-01 20:56:48,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:49,321 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:51,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:52,322 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:52,347 [DEBUG] [Thread-7] [root/watcher.py:84]: Stylesheet modified: c:\users\omarpc\.config\yasb\styles.css
2026-05-01 20:56:54,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:55,322 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:57,281 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
2026-05-01 20:56:58,322 [INFO] [MainThread] [root/bluetooth.py:333]: Bluetooth: Bluetooth is on, but no paired devices connected.
